shots-a,shots conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,0 boost time-a,100 boost time-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,time slow speed-a,percentage slow speed-a,time boost speed-a,percentage boost speed-a,time supersonic speed-a,percentage supersonic speed-a,time on ground-a,percentage on ground-a,time low in air-a,percentage low in air-a,time high in air-a,percentage high in air-a,time powerslide-a,avg powerslide time-a,count powerslide-a,time most back-a,time most forward-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,time behind ball-a,percentage behind ball-a,time in front of ball-a,percentage in front of ball-a,time defensive half-a,percentage defensive half-a,time offensive half-a,percentage offensive half-a,time defensive third-a,percentage defensive third-a,time neutral third-a,percentage neutral third-a,time offensive third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,0 boost time-b,100 boost time-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,time slow speed-b,percentage slow speed-b,time boost speed-b,percentage boost speed-b,time supersonic speed-b,percentage supersonic speed-b,time on ground-b,percentage on ground-b,time low in air-b,percentage low in air-b,time high in air-b,percentage high in air-b,time powerslide-b,avg powerslide time-b,count powerslide-b,time most back-b,time most forward-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,time behind ball-b,percentage behind ball-b,time in front of ball-b,percentage in front of ball-b,time defensive half-b,percentage defensive half-b,time offensive half-b,percentage offensive half-b,time defensive third-b,percentage defensive third-b,time neutral third-b,percentage neutral third-b,time offensive third-b,percentage offensive third-b,result,gd
6.0,3.0,448.0,53.22,2310.5,1848.0,462.5,22.0,41.5,450.5,276.5,174.0,3.5,16.0,26.995,32.875,396.0,285.0,77.5,1504.0,451770.0,139.57,45.31,123.805,40.16,44.965,14.53,174.055,56.46,117.42,38.065,16.869999999999997,5.475,7.785,0.145,54.5,151.35,149.85000000000002,2664.5,2458.0,2855.5,232.05,75.28,76.295,24.72,185.935,60.325,122.405,39.675,128.92000000000002,41.825,107.76,34.965,71.66,23.215,1.5,0.5,401.0,49.08,2011.0,1413.5,597.5,17.5,54.0,348.5,201.5,147.0,2.5,13.0,31.770000000000003,29.1,251.0,338.0,51.0,1498.5,444958.5,136.405,44.67,127.675,41.825,41.175,13.510000000000002,175.57999999999998,57.515,116.555,38.185,13.125,4.300000000000001,5.47,0.125,44.0,154.10000000000002,149.75,2542.0,2255.5,2792.5,211.17,69.185,94.085,30.815,202.06,66.22,103.195,33.78,142.785,46.8,107.69,35.27,54.77,17.925,1,2.0
11.0,6.0,401.0,46.36,2403.0,1857.5,545.5,20.5,48.5,469.5,260.5,209.0,3.0,18.0,44.625,31.14,256.0,199.0,44.0,1507.0,550755.5,202.225,48.68,163.335,39.31,49.95,12.005,242.705,58.42,153.285,36.875,19.52,4.7,5.715,0.125,45.0,187.35,190.9,2606.5,2595.5,2612.5,313.4,75.43,102.1,24.57,260.08,62.6,155.425,37.4,202.745,48.8,111.395,26.815,101.37,24.395,1.0,0.5,332.0,49.64,2356.0,1809.0,547.0,22.5,47.5,574.0,405.5,168.5,5.0,15.0,31.93,58.88,581.5,403.0,95.5,1457.0,531588.0,217.435,52.57,155.36,37.575,40.7,9.85,260.37,62.95,133.22000000000003,32.225,19.895,4.824999999999999,3.79,0.13,29.5,189.15,185.75,2318.0,1968.5,2593.0,288.185,69.67,125.305,30.33,275.415,66.59,138.075,33.410000000000004,205.285,49.63,125.825,30.44,82.38,19.935,1,4.0
5.0,9.0,418.0,48.745000000000005,2525.0,2009.5,515.5,22.0,43.0,673.0,435.5,237.5,4.5,18.0,42.745000000000005,28.200000000000003,336.0,203.0,22.0,1514.5,514790.0,177.45,47.985,141.01999999999998,38.135000000000005,51.345,13.88,207.435,56.095,147.885,39.99,14.490000000000002,3.92,6.18,0.13,48.0,172.55,170.6,2754.0,2540.0,2955.5,256.085,69.25,113.73,30.75,205.06,55.45,164.755,44.55,141.44,38.245,124.155,33.57,104.22,28.18,1.0,0.0,374.5,51.985,2443.0,1913.0,530.0,25.0,48.0,559.0,420.0,139.0,5.0,13.0,34.32,30.200000000000003,314.0,601.5,81.0,1528.0,512292.0,173.5,47.465,146.16500000000002,39.93,46.165,12.6,199.86,54.635,149.005,40.73,16.955,4.635,3.675,0.12,30.5,172.10000000000002,173.2,2443.0,2311.0,2580.5,272.695,74.51499999999999,93.125,25.485,260.055,71.08500000000001,105.77,28.915,194.885,53.27,114.405,31.275,56.53,15.455,0,-1.0
14.0,9.0,411.0,49.84,3406.0,2775.5,630.5,33.5,56.5,817.0,579.0,238.0,7.0,21.0,58.735,66.12,652.0,500.0,111.5,1505.0,738523.0,254.155,47.985,203.06,38.345,72.345,13.67,304.92,57.575,199.93,37.76,24.71,4.665,8.655000000000001,0.13,68.5,252.65,249.0,2622.5,2641.0,2591.5,378.94,71.565,150.615,28.435,321.92499999999995,60.795,207.63,39.205,238.625,45.065,166.16500000000002,31.375,124.765,23.56,1.0,1.5,396.5,48.245000000000005,3294.0,2304.0,990.0,27.0,84.0,754.5,511.0,243.5,5.5,22.0,80.9,43.635,504.5,422.0,38.5,1499.0,738869.0,255.06,47.965,209.8,39.455,66.89500000000001,12.58,295.24,55.525000000000006,211.59,39.79,24.925,4.6850000000000005,7.460000000000001,0.105,76.0,251.65,248.8,2310.0,2117.0,2449.5,381.93,71.825,149.825,28.175,343.21500000000003,64.545,188.54,35.455,244.05,45.895,180.82,34.004999999999995,106.885,20.1,1,1.0
9.0,5.0,383.5,53.185,1819.0,1360.0,459.0,17.5,41.0,384.0,271.0,113.0,3.5,10.0,28.17,24.630000000000003,263.5,333.0,72.0,1552.0,404482.0,123.905,43.735,120.06,42.38,39.345,13.885,166.58499999999998,58.8,103.68,36.595,13.045000000000002,4.605,4.234999999999999,0.135,32.0,130.75,131.1,2677.5,2463.0,2880.5,203.845,71.95,79.465,28.05,180.89,63.845,102.42,36.155,128.66,45.41,93.925,33.15,60.725,21.435,0.5,0.0,360.5,48.985,1679.0,1395.0,284.0,17.5,25.5,418.5,368.5,50.0,5.0,4.5,45.49,52.67,341.0,358.0,130.5,1528.0,394595.0,132.995,47.19,104.64,37.11,44.22,15.705,157.16500000000002,55.745000000000005,110.965,39.370000000000005,13.72,4.88,4.2,0.085,49.5,132.35,130.85,2240.5,2126.5,2282.5,188.975,67.03999999999999,92.88,32.96,173.535,61.55,108.32,38.45,126.05,44.715,84.625,30.015,71.17,25.270000000000003,1,1.0
9.0,10.0,390.0,50.39,2508.5,1980.0,528.5,23.5,45.0,540.5,365.5,175.0,4.0,16.5,43.465,32.05,331.5,284.5,24.5,1550.0,577024.0,187.03,45.575,164.22,40.08,58.615,14.35,230.965,56.315,151.025,36.875,27.87,6.815,5.529999999999999,0.11,52.0,187.2,187.0,2603.0,2287.5,2860.5,286.145,69.805,123.72,30.195,256.875,62.675,152.99,37.325,187.38,45.74,134.3,32.725,88.185,21.535,0.5,0.5,422.0,54.7,2826.0,2220.0,606.0,28.0,55.5,583.5,387.0,196.5,5.0,18.5,38.84,46.765,233.0,535.0,118.0,1529.5,571061.5,193.88,47.16,158.91,38.63,58.475,14.21,230.955,56.16,160.145,38.935,20.17,4.9,10.835,0.1,109.0,190.45,187.25,2325.5,2182.0,2527.0,307.82500000000005,74.845,103.44,25.155,260.22,63.285,151.05,36.715,191.605,46.585,137.875,33.53,81.785,19.885,1,1.0
5.0,7.0,362.0,47.685,2167.5,1622.5,545.0,21.0,48.5,558.0,332.5,225.5,3.5,19.0,43.115,40.05,177.0,417.5,16.0,1522.5,505308.0,165.865,46.665,138.6,38.995,50.98,14.345,187.615,52.78,154.28,43.400000000000006,13.56,3.815,6.455,0.13,50.0,167.14999999999998,167.2,2719.5,2419.0,2947.0,256.565,72.18,98.885,27.82,221.37,62.275000000000006,134.085,37.725,170.47500000000002,47.96,95.475,26.865,89.5,25.18,0.0,0.0,352.5,60.275,2163.0,1706.0,457.0,22.5,47.5,572.5,430.5,142.0,5.0,14.0,43.645,93.96,270.0,647.0,95.0,1420.5,471302.0,197.51,55.56,121.6,34.205,36.385000000000005,10.235,214.935,60.46,115.385,32.46,25.175,7.08,3.595,0.075,46.5,167.14999999999998,167.5,2215.0,2112.5,2347.0,270.395,76.06,85.105,23.94,227.955,64.12,127.55,35.879999999999995,173.845,48.900000000000006,104.12,29.285,77.535,21.81,0,-1.0
11.0,7.0,358.5,48.845,2005.0,1629.5,375.5,18.5,36.0,342.5,230.5,112.0,2.5,11.0,40.32,43.995000000000005,332.0,222.0,1.5,1529.0,435114.5,172.09,48.81,132.98000000000002,37.535,48.405,13.655,200.5,56.84,141.22500000000002,39.85,11.755,3.31,4.045,0.13,31.0,208.2,161.95,2756.0,2547.5,2934.5,279.435,78.985,74.045,21.015,241.01,68.195,112.47,31.805,186.035,52.64,114.33,32.36,53.120000000000005,15.0,0.0,1.0,476.5,45.11,2611.5,2089.5,522.0,23.0,49.0,453.0,284.5,168.5,3.5,15.5,46.785,34.685,491.0,237.0,73.0,1575.5,504921.0,169.35500000000002,46.605,132.97,36.575,61.120000000000005,16.82,211.995,58.345,128.78,35.42,22.675,6.235,5.654999999999999,0.14,40.0,166.75,162.05,2488.5,2251.5,2704.5,252.225,69.43,111.22,30.57,235.27,64.755,128.175,35.245000000000005,168.055,46.27,124.365,34.2,71.025,19.53,1,3.0
6.0,8.0,362.0,53.94,2497.5,1874.0,623.5,23.0,54.5,612.5,343.0,269.5,4.0,21.0,38.925,53.855,409.0,363.0,37.5,1464.5,559762.5,219.935,53.09,149.245,36.025,45.13,10.89,235.49,56.845,161.26999999999998,38.925,17.544999999999998,4.23,5.994999999999999,0.12,51.5,200.75,197.2,2496.5,2405.0,2583.0,301.5,72.77000000000001,112.805,27.23,259.41,62.61,154.9,37.39,203.915,49.22,120.09,28.985,90.3,21.8,1.5,2.0,448.0,47.96,3121.0,2347.5,773.5,28.5,61.0,636.0,432.0,204.0,6.0,18.0,48.525,38.58,604.5,508.0,169.0,1547.0,595713.0,176.755,42.56,172.445,41.525000000000006,66.025,15.91,243.585,58.64,157.76,38.01,13.88,3.345,6.095000000000001,0.11,60.5,197.5,194.55,2769.5,2570.0,2950.5,319.305,76.89,95.915,23.11,282.045,67.91,133.175,32.09,215.82,51.965,119.08,28.675,80.325,19.36,1,1.0
6.0,7.0,388.0,53.275000000000006,2098.0,1647.5,450.5,20.0,36.5,387.0,257.5,129.5,3.0,11.5,35.315,27.81,341.5,201.5,47.0,1529.5,484942.5,148.8,43.73,144.29500000000002,42.49,46.57000000000001,13.77,186.495,54.865,137.165,40.425,16.005000000000003,4.715,5.074999999999999,0.115,43.0,167.25,162.0,2626.0,2567.0,2715.0,249.315,73.42,90.355,26.58,219.09,64.53,120.575,35.47,164.93,48.58,107.075,31.525,67.665,19.895,0.5,1.5,375.5,52.255,2093.5,1481.5,612.0,19.0,51.0,577.0,362.5,214.5,4.5,19.5,46.1,42.095,335.0,432.5,95.0,1545.5,495510.5,155.855,45.370000000000005,138.085,40.185,49.63,14.44,213.61,62.19,118.9,34.6,11.065,3.2150000000000003,4.475,0.105,42.0,163.75,161.7,2486.0,2190.5,2810.5,241.705,70.34,101.865,29.66,209.86,61.075,133.715,38.925,149.81,43.6,108.95,31.705,84.815,24.69,1,2.0
